,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Season,PLoad
0,2877948387096774.0,,,,,,6229451612903226.0,,,,5.03320545e+16,,2877948387096774.0,6229451612903226.0,36064516129032.26,49935483870967.74,1981-01-01,winter,145372915525.81638
1,3818886874551536.0,0.0,72686457762.90819,1345326215.988497,416788187869.24176,0.0,5288239903421754.0,612954579.7044033,151526429.74330908,72686457762.90819,5.033204251715038e+16,13789603972.602741,2915730261136715.0,4288388018433178.5,36064516129032.26,49935483870967.74,1981-01-02,winter,140005519147.5653
2,3818654160952894.0,0.0,70002759573.78265,1785177472.6965585,531798430622.46954,0.0,5288078663375530.0,520339847.8533513,144783930.08094645,70002759573.78265,5.033203088828309e+16,13789600689.630243,2928945330261138.0,4290968018433180.0,36064516129032.26,49935483870967.74,1981-01-03,winter,157710504894.04138
3,3818382154383962.0,0.0,78855252447.02069,1783710472.354437,647450016950.4166,0.0,5287858765065191.0,520299631.32650095,138642889.4818594,78855252447.02069,5.03320192640528e+16,13789597503.639204,2941628018433179.5,4294094930875573.5,36064516129032.26,49935483870967.74,1981-01-04,winter,247776549923.3196
4,3817736755846569.5,0.0,123888274961.6598,1775842535.3514063,1131604391560.5632,0.0,5287618172696671.0,520232341.75837666,133010603.40136158,123888274961.6598,5.033200763752276e+16,13789594318.918575,2988821013824884.5,4138367557603686.5,36064516129032.26,49935483870967.74,1981-01-05,winter,548107052971.1436
5,3817485575964019.5,0.0,274053526485.5718,1759231042.8815305,1161419376852.9216,0.0,5287253888672349.0,520147809.31086475,127795862.2554234,274053526485.5718,5.033199599951461e+16,13789591133.56788,3008244331797233.0,4165261382488477.0,36064516129032.26,49935483870967.74,1981-01-06,winter,497198618447.60944
6,3817270949556921.0,0.0,248599309223.80472,1756916922.9893463,1092494082677.0397,0.0,5286871065740442.0,519911192.8295224,122953339.81011057,248599309223.80472,5.033198436380144e+16,13789587945.072495,2972746543778801.0,4307220829493088.0,36064516129032.26,49935483870967.74,1981-01-07,winter,524229081433.5014
7,3816930289339842.0,0.0,262114540716.7507,1756842024.9920018,1196124467695.761,0.0,5286537672496222.0,519733666.051486,118500652.63015972,262114540716.7507,5.033197273229171e+16,13789584757.205873,3039156774193548.5,4208063225806452.0,36064516129032.26,49935483870967.74,1981-01-08,winter,540266029617.6272
8,3816569872447113.5,0.0,270133014808.8136,1737143731.5262642,1281910187761.2747,0.0,5286154302970965.0,519409101.9035497,114292991.64877248,270133014808.8136,5.033196108496998e+16,13789581570.490881,2995106543778801.0,4308980460829494.5,36064516129032.26,49935483870967.74,1981-01-09,winter,480419809444.808
9,3816322673768227.0,0.0,240209904722.404,1715650743.2875648,1187295170863.6265,0.0,5285692502003264.0,519003919.11132234,110369495.05082145,240209904722.404,5.0331949419676776e+16,13789578379.443832,3007523041474656.0,4306864147465436.0,36064516129032.26,49935483870967.74,1981-01-10,winter,368814517591.1996
10,3816205805917111.5,0.0,184407258795.5998,1707513732.1645942,951044546557.11,0.0,5285225020383119.0,518639898.226409,106711335.14273883,184407258795.5998,5.033193774954389e+16,13789575183.473091,3025984639016897.0,4296508479262673.5,36064516129032.26,49935483870967.74,1981-01-11,winter,255252531247.6524
11,3816166923861296.0,0.0,127626265623.8262,1696680585.3417726,688105246489.0444,0.0,5284828938156074.0,518217967.07179993,103330934.46665287,127626265623.8262,5.033192607153952e+16,13789571986.176409,3053513886328725.0,4281284101382489.5,36064516129032.26,49935483870967.74,1981-01-12,winter,351109623288.87366
12,3815728979682045.5,0.0,175554811644.43683,1691689327.9382813,991577400303.7734,0.0,5284624305341076.0,518030612.5816811,100502707.92008495,175554811644.43683,5.0331914391187976e+16,13789568786.723158,3081043133640553.0,4266059723502305.5,36064516129032.26,49935483870967.74,1981-01-13,winter,415435149153.9689
13,3815251496974760.5,0.0,207717574576.98444,1685138596.6375303,1231760663701.6135,0.0,5284283357869930.0,517677313.0620136,98152025.5156622,207717574576.98444,5.033190270628628e+16,13789565586.626844,3047589001536099.0,4303642119815668.0,36064516129032.26,49935483870967.74,1981-01-14,winter,399529108243.21326
14,3814885313747402.5,0.0,199764554121.60663,1671310586.1730442,1246791069586.294,0.0,5283800186332811.0,517323014.5629781,95830468.17267677,199764554121.60663,5.033189100952702e+16,13789562385.283913,3055806559139784.5,4306020000000000.0,36064516129032.26,49935483870967.74,1981-01-15,winter,381658850553.4978
