,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Sedv[L],Season
0,2877948387096.774,,,,,,6229451612903.226,,,,0.0,,2877948387096.774,6229451612903.226,36064516129.03226,49935483870.96774,1981-01-01,1664516129.032272,winter
1,3818810907668.4478,0.0,109483.47646422176,4671691.675579228,416788187.8692418,0.0,5288165649319.009,2128505.9143883577,0.0,35889.43906159461,6800197.589967586,0.0,2915730261136.715,4288388018433.1787,36064516129.03226,49935483870.96774,1981-01-02,1664516129.032272,winter
2,3818516805417.3843,0.0,105441.17454761721,6198967.016904304,531787851.8673158,0.0,5287920101715.627,1806872.6931102448,3831.6132252663997,34564.3445999481,14802187.05607854,18.630678328678318,2928945330261.138,4290968018433.1797,36064516129.03226,49935483870.96774,1981-01-03,1664516129.032272,winter
3,3818174882129.07,0.0,118775.18097696104,6193773.326827435,647426728.4199436,0.0,5287606763723.505,1806704.2359680093,8215.041171786654,38935.32391708033,22794409.023765057,40.55393713994121,2941628018433.1797,4294094930875.5737,36064516129.03226,49935483870.96774,1981-01-04,1664516129.032272,winter
4,3817416075950.244,0.0,186605.86102848258,6166339.695957131,1131542964.9708714,0.0,5287226314399.949,1806438.6529847109,12464.390745129233,61170.688894836996,30754660.53152609,62.45043568154811,2988821013824.8843,4138367557603.686,36064516129.03226,49935483870.96774,1981-01-05,1664516129.032272,winter
5,3816908830556.7812,0.0,412791.23705256765,6108477.32033439,1161321820.664746,0.0,5286564888075.663,1806097.346589379,16570.530089180684,135315.815918576,38652580.40901676,84.25934392198928,3008244331797.233,4165261382488.477,36064516129.03226,49935483870.96774,1981-01-06,1664516129.032272,winter
6,3816487706970.1377,0.0,374450.9975875489,6100032.866703097,1092329028.7607691,0.0,5285886295146.715,1805174.2758232749,20521.692377226704,122747.62086006047,46537159.96168534,105.89748057264866,2972746543778.801,4307220829493.088,36064516129.03226,49935483870.96774,1981-01-07,1664516129.032272,winter
7,3815923008071.6904,0.0,394808.221953785,6099442.748177906,1195879042.1981812,0.0,5285247759692.529,1804456.9034873643,24360.136355631686,129420.85947971641,54416571.97792659,127.49906838817903,3039156774193.5483,4208063225806.4517,36064516129.03226,49935483870.96774,1981-01-08,1664516129.032272,winter
8,3815332815450.1953,0.0,406885.99333729193,6030699.597989954,1281571893.8911479,0.0,5284549114833.992,1803225.9233254855,28073.353204667703,133380.03628033525,62222275.0595388,149.0864985696619,2995106543778.801,4308980460829.494,36064516129.03226,49935483870.96774,1981-01-09,1664516129.032272,winter
9,3814887028175.0005,0.0,361814.51482931705,5955725.323447758,1186910335.3050985,0.0,5283800746399.719,1801711.7336991257,31643.08518745924,118605.29461549096,69947898.55951177,170.47198646448985,3007523041474.6562,4306864147465.436,36064516129.03226,49935483870.96774,1981-01-10,1664516129.032272,winter
10,3814622422700.476,0.0,277762.1636761395,5927169.759775018,950686777.3041031,0.0,5283107341466.367,1800350.3525079447,35075.024595770774,91052.35391506013,77640152.00912072,191.63807824523775,3025984639016.897,4296508479262.674,36064516129.03226,49935483870.96774,1981-01-11,1664516129.032272,winter
11,3814483497139.413,0.0,192236.18372242484,5889337.277669541,687819744.5130031,0.0,5282551052802.264,1798808.726375101,38412.820092828944,63016.34752522757,85289672.4803273,212.71274523046773,,,36064516129.03226,49935483870.96774,1981-01-12,1664516129.032272,winter
12,3813888726499.534,0.0,264428.2261153563,5871858.1279115435,991139985.5035851,0.0,5282147406305.968,1798103.8061586767,41701.64163896681,86681.39717351731,92917699.10242298,233.67033556254057,3081043133640.5537,4266059723502.3057,36064516129.03226,49935483870.96774,1981-01-13,1664516129.032272,winter
13,3813230081611.42,0.0,312873.16629989276,5848879.721036394,1231166609.0678754,0.0,5281567699297.3545,1796809.7623958727,44966.67605805601,102561.98285407611,100518167.34075856,254.56903863677533,3047589001536.099,4303642119815.6675,36064516129.03226,49935483870.96774,1981-01-14,1664516129.032272,winter
14,3812695846483.4214,0.0,300893.984005909,5800608.705596952,1246130488.5931573,0.0,5280848655471.801,1795498.8033074997,48113.44430517569,98635.12423730429,108065886.01311855,275.3922392897495,3055806559139.7847,4306019999999.9995,36064516129.03226,49935483870.96774,1981-01-15,1664516129.032272,winter
15,3812160057347.5073,0.0,287435.5077133695,5789006.070001844,1256350488.4758072,0.0,5280120943676.145,1794340.8750416026,51244.99937163798,94223.34284012827,115597691.88786978,296.07092058388645,3060331797235.024,4308397880184.3306,36064516129.03226,49935483870.96774,1981-01-16,1664516129.032272,winter
16,3811627157909.644,0.0,272172.47023164143,5731511.548737437,1259438150.237936,0.0,5279387296692.961,1792310.2270713148,54158.48318414287,89220.01383299427,123067038.47448921,316.706005172246,3075101075268.818,4813721198156.681,36064516129.03226,49935483870.96774,1981-01-17,1664516129.032272,winter
17,3811312467889.668,0.0,212156.33992776935,5734060.731521525,1042934484.0050466,0.0,5278651866487.512,1790520.7349339006,57137.39454614327,69546.31218581073,130534145.37643008,337.1699684232582,3074070660522.272,4312939631336.4062,36064516129.03226,49935483870.96774,1981-01-18,1664516129.032272,winter
18,3811199295032.587,0.0,136500.39437712586,5699012.113411164,715694933.3161283,0.0,5278042097758.965,1788878.8975417963,59992.53347248692,44745.77118020558,137961686.22611502,357.62779555186324,3080940092165.8975,4311037327188.94,36064516129.03226,49935483870.96774,1981-01-19,1664516129.032272,winter
