,PGRNNe,Time
0,66.06447,1981-04-11
1,64.189026,1981-04-12
2,62.27609,1981-04-13
3,60.52428,1981-04-14
4,60.010223,1981-04-15
5,59.513474,1981-04-16
6,59.405384,1981-04-17
7,59.14456,1981-04-18
8,58.396843,1981-04-19
9,58.2518,1981-04-20
10,57.407436,1981-04-21
11,56.359844,1981-04-22
12,55.58396,1981-04-23
13,54.66566,1981-04-24
14,54.31918,1981-04-25
15,55.34688,1981-04-26
16,55.12125,1981-04-27
17,54.908245,1981-04-28
18,54.65632,1981-04-29
19,53.611023,1981-04-30
20,53.42831,1981-05-01
21,53.49647,1981-05-02
22,54.080116,1981-05-03
23,54.446915,1981-05-04
24,54.5163,1981-05-05
25,53.363895,1981-05-06
26,52.359562,1981-05-07
27,51.989594,1981-05-08
28,50.95213,1981-05-09
29,50.97674,1981-05-10
30,51.422237,1981-05-11
31,51.322803,1981-05-12
32,51.056873,1981-05-13
33,50.09746,1981-05-14
34,49.783848,1981-05-15
35,50.064957,1981-05-16
36,49.228928,1981-05-17
37,48.22554,1981-05-18
38,47.44261,1981-05-19
39,47.269985,1981-05-20
40,47.541687,1981-05-21
41,47.392933,1981-05-22
42,46.524086,1981-05-23
43,45.56252,1981-05-24
44,44.821083,1981-05-25
45,45.0814,1981-05-26
46,44.862,1981-05-27
47,44.415768,1981-05-28
48,44.38521,1981-05-29
49,44.034775,1981-05-30
50,42.59812,1981-05-31
51,41.703518,1981-06-01
52,40.6791,1981-06-02
53,40.16398,1981-06-03
54,39.02408,1981-06-04
55,37.396053,1981-06-05
56,35.96109,1981-06-06
57,34.442417,1981-06-07
58,33.15167,1981-06-08
59,32.185066,1981-06-09
60,30.671082,1981-06-10
61,28.8703,1981-06-11
62,27.290071,1981-06-12
63,25.86326,1981-06-13
64,24.454582,1981-06-14
65,23.111456,1981-06-15
66,21.939903,1981-06-16
67,21.271994,1981-06-17
68,20.93226,1981-06-18
69,20.873537,1981-06-19
70,20.572428,1981-06-20
71,20.371355,1981-06-21
72,21.110641,1981-06-22
73,21.161777,1981-06-23
74,20.64026,1981-06-24
75,20.107176,1981-06-25
76,19.647913,1981-06-26
77,19.402199,1981-06-27
78,19.518059,1981-06-28
79,19.31623,1981-06-29
80,18.914442,1981-06-30
81,18.364742,1981-07-01
82,17.901682,1981-07-02
83,17.545187,1981-07-03
84,17.13535,1981-07-04
85,16.64203,1981-07-05
86,16.122974,1981-07-06
87,15.636528,1981-07-07
88,15.052633,1981-07-08
89,14.456347,1981-07-09
90,13.864605,1981-07-10
91,13.745055,1981-07-11
92,13.57315,1981-07-12
93,13.752743,1981-07-13
94,13.68719,1981-07-14
95,13.484059,1981-07-15
96,13.17608,1981-07-16
97,13.190821,1981-07-17
98,13.424672,1981-07-18
99,13.722462,1981-07-19
100,14.136763,1981-07-20
101,14.140737,1981-07-21
102,13.957451,1981-07-22
103,14.133435,1981-07-23
104,13.900952,1981-07-24
105,13.834771,1981-07-25
106,13.741986,1981-07-26
107,13.7338295,1981-07-27
108,13.787819,1981-07-28
109,13.667185,1981-07-29
110,13.317244,1981-07-30
111,13.023962,1981-07-31
112,12.709358,1981-08-01
113,12.628236,1981-08-02
114,12.325865,1981-08-03
115,11.974903,1981-08-04
116,11.591018,1981-08-05
117,11.263405,1981-08-06
118,10.93293,1981-08-07
119,11.076941,1981-08-08
120,11.007284,1981-08-09
121,11.067454,1981-08-10
122,11.044743,1981-08-11
123,11.403906,1981-08-12
124,11.522828,1981-08-13
125,11.457027,1981-08-14
126,11.341185,1981-08-15
127,11.260557,1981-08-16
128,11.305068,1981-08-17
129,11.135816,1981-08-18
130,11.045737,1981-08-19
131,11.339063,1981-08-20
132,11.3522,1981-08-21
133,11.265757,1981-08-22
134,11.533281,1981-08-23
135,11.930332,1981-08-24
136,11.794301,1981-08-25
137,11.499081,1981-08-26
138,11.269636,1981-08-27
139,11.038779,1981-08-28
140,10.882074,1981-08-29
141,10.838967,1981-08-30
142,10.892289,1981-08-31
143,10.901257,1981-09-01
144,10.914849,1981-09-02
145,11.135615,1981-09-03
146,11.608165,1981-09-04
147,11.596064,1981-09-05
148,11.721241,1981-09-06
149,11.713388,1981-09-07
150,11.743448,1981-09-08
151,11.728096,1981-09-09
152,11.864319,1981-09-10
153,11.918473,1981-09-11
154,11.914865,1981-09-12
155,12.277287,1981-09-13
156,12.491229,1981-09-14
157,12.53687,1981-09-15
158,12.626965,1981-09-16
159,12.669507,1981-09-17
160,12.880222,1981-09-18
161,13.376984,1981-09-19
162,13.949055,1981-09-20
163,14.16956,1981-09-21
164,14.216195,1981-09-22
165,14.165367,1981-09-23
166,14.169407,1981-09-24
167,14.279806,1981-09-25
168,14.575349,1981-09-26
169,14.7204275,1981-09-27
170,14.825524,1981-09-28
171,14.997612,1981-09-29
172,15.07133,1981-09-30
173,15.228721,1981-10-01
174,15.760773,1981-10-02
175,16.59169,1981-10-03
176,17.390192,1981-10-04
177,17.671776,1981-10-05
178,17.824196,1981-10-06
179,17.902447,1981-10-07
180,17.873451,1981-10-08
181,18.13861,1981-10-09
182,18.90452,1981-10-10
183,19.158054,1981-10-11
184,19.52194,1981-10-12
185,19.58791,1981-10-13
186,19.916094,1981-10-14
187,20.464373,1981-10-15
188,20.488989,1981-10-16
189,20.585352,1981-10-17
190,20.829138,1981-10-18
191,21.124704,1981-10-19
192,21.566217,1981-10-20
193,22.062136,1981-10-21
194,22.53166,1981-10-22
195,23.201136,1981-10-23
196,23.888647,1981-10-24
197,24.865421,1981-10-25
198,25.812181,1981-10-26
199,26.50519,1981-10-27
200,27.156698,1981-10-28
201,28.035227,1981-10-29
202,29.699522,1981-10-30
203,30.419186,1981-10-31
204,31.055138,1981-11-01
205,31.793602,1981-11-02
206,32.483395,1981-11-03
207,33.05291,1981-11-04
208,33.74045,1981-11-05
209,34.577343,1981-11-06
210,35.374,1981-11-07
211,36.768867,1981-11-08
212,37.61063,1981-11-09
213,38.33616,1981-11-10
214,38.761215,1981-11-11
215,39.107864,1981-11-12
216,39.548325,1981-11-13
217,40.14019,1981-11-14
218,41.445576,1981-11-15
219,42.14195,1981-11-16
220,42.473923,1981-11-17
221,42.78488,1981-11-18
222,43.35359,1981-11-19
223,43.704998,1981-11-20
224,44.035206,1981-11-21
225,44.504223,1981-11-22
226,45.158752,1981-11-23
227,45.9601,1981-11-24
228,46.231876,1981-11-25
229,46.392044,1981-11-26
230,47.07901,1981-11-27
231,47.788147,1981-11-28
232,48.503265,1981-11-29
233,49.488216,1981-11-30
234,49.749805,1981-12-01
235,49.921204,1981-12-02
236,50.54755,1981-12-03
237,50.755413,1981-12-04
238,51.03312,1981-12-05
239,51.60101,1981-12-06
240,53.662273,1981-12-07
241,56.306267,1981-12-08
242,57.48136,1981-12-09
243,57.74812,1981-12-10
244,58.164543,1981-12-11
245,58.2726,1981-12-12
246,60.600933,1981-12-13
247,61.196533,1981-12-14
248,63.236023,1981-12-15
249,65.00359,1981-12-16
250,65.93105,1981-12-17
251,65.25959,1981-12-18
252,66.68236,1981-12-19
253,67.63,1981-12-20
254,67.300224,1981-12-21
255,68.66293,1981-12-22
256,69.7083,1981-12-23
257,70.95123,1981-12-24
258,70.75518,1981-12-25
259,71.92646,1981-12-26
260,72.809555,1981-12-27
261,72.81069,1981-12-28
262,73.16102,1981-12-29
263,74.28224,1981-12-30
264,75.13878,1981-12-31
265,75.86478,1982-01-01
266,76.4303,1982-01-02
267,76.5487,1982-01-03
268,77.14196,1982-01-04
269,77.72234,1982-01-05
270,78.021095,1982-01-06
271,78.676636,1982-01-07
272,78.76866,1982-01-08
273,78.56372,1982-01-09
274,78.520355,1982-01-10
275,78.88407,1982-01-11
276,79.17731,1982-01-12
277,79.41855,1982-01-13
278,79.564384,1982-01-14
279,79.72163,1982-01-15
280,79.84585,1982-01-16
281,80.08287,1982-01-17
282,80.45936,1982-01-18
283,80.72834,1982-01-19
284,80.85141,1982-01-20
285,81.02785,1982-01-21
286,81.119576,1982-01-22
287,81.17142,1982-01-23
288,81.288445,1982-01-24
289,81.55079,1982-01-25
290,81.655106,1982-01-26
291,81.57771,1982-01-27
292,81.71429,1982-01-28
293,81.71184,1982-01-29
294,81.67637,1982-01-30
295,81.68097,1982-01-31
296,81.87464,1982-02-01
297,81.833466,1982-02-02
298,81.76355,1982-02-03
299,81.755875,1982-02-04
300,81.789566,1982-02-05
301,81.8179,1982-02-06
302,81.920334,1982-02-07
303,81.94161,1982-02-08
304,81.945274,1982-02-09
305,81.75848,1982-02-10
306,81.54592,1982-02-11
307,81.355896,1982-02-12
308,81.15917,1982-02-13
309,81.077194,1982-02-14
310,81.0915,1982-02-15
311,81.19485,1982-02-16
312,81.205666,1982-02-17
313,81.19828,1982-02-18
314,81.203384,1982-02-19
315,81.31165,1982-02-20
316,81.62266,1982-02-21
317,81.74821,1982-02-22
318,81.807335,1982-02-23
319,81.812675,1982-02-24
320,81.58831,1982-02-25
321,81.383286,1982-02-26
322,81.07825,1982-02-27
323,80.8281,1982-02-28
324,80.77278,1982-03-01
325,80.867294,1982-03-02
326,80.84757,1982-03-03
327,80.787704,1982-03-04
328,81.14984,1982-03-05
329,81.69979,1982-03-06
330,81.60651,1982-03-07
331,81.26377,1982-03-08
332,80.747444,1982-03-09
333,80.86709,1982-03-10
334,80.60157,1982-03-11
335,80.3906,1982-03-12
336,80.09981,1982-03-13
337,79.87587,1982-03-14
338,79.485825,1982-03-15
339,79.771545,1982-03-16
340,79.83413,1982-03-17
341,79.57597,1982-03-18
342,79.317856,1982-03-19
343,79.19201,1982-03-20
344,78.98297,1982-03-21
345,78.635376,1982-03-22
346,78.730736,1982-03-23
347,78.73021,1982-03-24
348,78.292046,1982-03-25
349,77.742386,1982-03-26
350,77.333084,1982-03-27
351,77.061035,1982-03-28
352,76.88073,1982-03-29
353,76.69333,1982-03-30
354,76.64089,1982-03-31
355,76.51261,1982-04-01
356,76.340034,1982-04-02
357,76.25008,1982-04-03
358,76.00829,1982-04-04
359,75.740265,1982-04-05
360,73.865715,1982-04-06
361,71.81131,1982-04-07
362,70.8638,1982-04-08
363,68.79951,1982-04-09
364,66.84033,1982-04-10
365,65.114265,1982-04-11
366,63.79427,1982-04-12
367,63.84318,1982-04-13
368,65.05261,1982-04-14
369,64.3178,1982-04-15
370,62.791622,1982-04-16
371,61.887325,1982-04-17
372,60.361217,1982-04-18
373,59.35286,1982-04-19
374,58.012745,1982-04-20
375,56.682285,1982-04-21
376,55.51855,1982-04-22
377,54.31393,1982-04-23
378,54.093483,1982-04-24
379,54.88074,1982-04-25
380,54.297886,1982-04-26
381,54.410328,1982-04-27
382,54.01829,1982-04-28
383,53.03362,1982-04-29
384,51.928646,1982-04-30
385,51.60831,1982-05-01
386,50.427757,1982-05-02
387,49.926254,1982-05-03
388,50.64929,1982-05-04
389,50.683,1982-05-05
390,50.480927,1982-05-06
391,49.062828,1982-05-07
392,47.70732,1982-05-08
393,47.607357,1982-05-09
394,46.63149,1982-05-10
395,45.04268,1982-05-11
396,44.237915,1982-05-12
397,43.50775,1982-05-13
398,42.789795,1982-05-14
399,42.122604,1982-05-15
400,41.575836,1982-05-16
401,41.314262,1982-05-17
402,40.947975,1982-05-18
403,40.284046,1982-05-19
404,39.910637,1982-05-20
405,39.15594,1982-05-21
406,37.932156,1982-05-22
407,37.475056,1982-05-23
408,36.649616,1982-05-24
409,36.176617,1982-05-25
410,35.69274,1982-05-26
411,34.42347,1982-05-27
412,33.261078,1982-05-28
413,32.33566,1982-05-29
414,31.183565,1982-05-30
415,30.052313,1982-05-31
416,28.877783,1982-06-01
417,27.668676,1982-06-02
418,26.571087,1982-06-03
419,25.549454,1982-06-04
420,24.425695,1982-06-05
421,23.335703,1982-06-06
422,22.323885,1982-06-07
423,21.297276,1982-06-08
424,20.321247,1982-06-09
425,19.328789,1982-06-10
426,18.625845,1982-06-11
427,18.170828,1982-06-12
428,18.085756,1982-06-13
429,17.921055,1982-06-14
430,17.704931,1982-06-15
431,17.571203,1982-06-16
432,17.311293,1982-06-17
433,17.002651,1982-06-18
434,16.66649,1982-06-19
435,16.139162,1982-06-20
436,15.905095,1982-06-21
437,15.561291,1982-06-22
438,15.1469755,1982-06-23
439,14.679627,1982-06-24
440,14.21726,1982-06-25
441,14.152289,1982-06-26
442,13.939698,1982-06-27
443,13.705449,1982-06-28
444,13.404537,1982-06-29
445,13.080952,1982-06-30
446,12.74863,1982-07-01
447,12.564342,1982-07-02
448,12.876841,1982-07-03
449,12.5541,1982-07-04
450,12.237189,1982-07-05
451,12.209368,1982-07-06
452,11.910732,1982-07-07
453,11.6725025,1982-07-08
454,11.519194,1982-07-09
455,11.497373,1982-07-10
456,11.455629,1982-07-11
457,11.366664,1982-07-12
458,11.327587,1982-07-13
459,11.367062,1982-07-14
460,11.39053,1982-07-15
461,11.504735,1982-07-16
462,11.650993,1982-07-17
463,11.682557,1982-07-18
464,11.760549,1982-07-19
465,11.6751995,1982-07-20
466,11.606149,1982-07-21
467,11.589002,1982-07-22
468,11.602305,1982-07-23
469,12.139152,1982-07-24
470,12.651076,1982-07-25
471,12.721806,1982-07-26
472,12.5449915,1982-07-27
473,12.265805,1982-07-28
474,12.293899,1982-07-29
475,12.313414,1982-07-30
476,12.314576,1982-07-31
477,11.815973,1982-08-01
478,12.0692005,1982-08-02
479,11.994628,1982-08-03
480,12.004228,1982-08-04
481,11.666154,1982-08-05
482,11.695368,1982-08-06
483,11.730578,1982-08-07
484,11.895289,1982-08-08
485,11.70992,1982-08-09
486,11.370805,1982-08-10
487,10.9653845,1982-08-11
488,10.571532,1982-08-12
489,10.550691,1982-08-13
490,10.291287,1982-08-14
491,10.405792,1982-08-15
492,10.225511,1982-08-16
493,10.036935,1982-08-17
494,9.87884,1982-08-18
495,9.858357,1982-08-19
496,10.221109,1982-08-20
497,10.200333,1982-08-21
498,10.172528,1982-08-22
499,10.220321,1982-08-23
500,10.301526,1982-08-24
501,10.26192,1982-08-25
502,10.282843,1982-08-26
503,10.263454,1982-08-27
504,10.385318,1982-08-28
505,9.865707,1982-08-29
506,9.43996,1982-08-30
507,9.316564,1982-08-31
508,9.164347,1982-09-01
509,8.954583,1982-09-02
510,9.004301,1982-09-03
511,8.972072,1982-09-04
512,9.126432,1982-09-05
513,9.436603,1982-09-06
514,9.384025,1982-09-07
515,9.292314,1982-09-08
516,9.286603,1982-09-09
517,9.317158,1982-09-10
518,9.4463625,1982-09-11
519,9.635114,1982-09-12
520,9.72092,1982-09-13
521,9.7484,1982-09-14
522,9.806079,1982-09-15
523,9.839552,1982-09-16
524,9.963787,1982-09-17
525,10.126893,1982-09-18
526,10.395959,1982-09-19
527,10.596867,1982-09-20
528,10.722637,1982-09-21
529,10.958859,1982-09-22
530,11.153239,1982-09-23
531,11.670281,1982-09-24
532,11.962339,1982-09-25
533,12.487761,1982-09-26
534,12.454536,1982-09-27
535,12.353278,1982-09-28
536,12.313721,1982-09-29
537,12.627179,1982-09-30
538,12.717381,1982-10-01
539,13.0017605,1982-10-02
540,13.29681,1982-10-03
541,13.665439,1982-10-04
542,14.021781,1982-10-05
