,RNNe,Time
0,279377100000.0,1981-04-11
1,240372290000.0,1981-04-12
2,208558800000.0,1981-04-13
3,187070700000.0,1981-04-14
4,194930900000.0,1981-04-15
5,200412180000.0,1981-04-16
6,201961750000.0,1981-04-17
7,208897080000.0,1981-04-18
8,209907990000.0,1981-04-19
9,217591970000.0,1981-04-20
10,202463640000.0,1981-04-21
11,185874330000.0,1981-04-22
12,177115800000.0,1981-04-23
13,162271330000.0,1981-04-24
14,164195250000.0,1981-04-25
15,179656590000.0,1981-04-26
16,181707160000.0,1981-04-27
17,181138740000.0,1981-04-28
18,180766600000.0,1981-04-29
19,166495110000.0,1981-04-30
20,171248530000.0,1981-05-01
21,172722370000.0,1981-05-02
22,176932230000.0,1981-05-03
23,184794920000.0,1981-05-04
24,193242000000.0,1981-05-05
25,177320070000.0,1981-05-06
26,165002600000.0,1981-05-07
27,169504310000.0,1981-05-08
28,154169520000.0,1981-05-09
29,160023950000.0,1981-05-10
30,171539090000.0,1981-05-11
31,173137200000.0,1981-05-12
32,173667190000.0,1981-05-13
33,158932780000.0,1981-05-14
34,158764150000.0,1981-05-15
35,167269240000.0,1981-05-16
36,153970720000.0,1981-05-17
37,140633590000.0,1981-05-18
38,135255630000.0,1981-05-19
39,140337740000.0,1981-05-20
40,148004010000.0,1981-05-21
41,149403120000.0,1981-05-22
42,141199540000.0,1981-05-23
43,134934440000.0,1981-05-24
44,131255280000.0,1981-05-25
45,141674870000.0,1981-05-26
46,145542820000.0,1981-05-27
47,141096160000.0,1981-05-28
48,145398140000.0,1981-05-29
49,145305730000.0,1981-05-30
50,130477370000.0,1981-05-31
51,127156350000.0,1981-06-01
52,125404455000.0,1981-06-02
53,129155940000.0,1981-06-03
54,124460370000.0,1981-06-04
55,104856580000.0,1981-06-05
56,94140440000.0,1981-06-06
57,86427705000.0,1981-06-07
58,87320860000.0,1981-06-08
59,87357555000.0,1981-06-09
60,81046585000.0,1981-06-10
61,72647130000.0,1981-06-11
62,67664380000.0,1981-06-12
63,64586973000.0,1981-06-13
64,60532072000.0,1981-06-14
65,56411963000.0,1981-06-15
