,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,PLoad,Season
0,2877948387096.774,,,,,,6229451612903.226,,,,5.03320545e+16,,2877948387096.774,6229451612903.226,36064516129.03226,49935483870.96774,1981-01-01,145372915525.81638,winter
1,3818810907668.448,0.0,72686457762.90819,1345326215.988497,416788187869.24176,0.0,5288165649319.009,612954579.7044033,151526429.74330908,72686457762.90819,5.033204251715038e+16,13789603972.602741,2915730261136.715,4288388018433.178,36064516129.03226,49935483870.96774,1981-01-02,140005519147.5653,winter
2,3818516805417.384,0.0,70002759573.78265,1785177472.6965585,531798430622.46954,0.0,5287920101715.627,520339847.8533513,144783930.08094645,70002759573.78265,5.033203088828309e+16,13789600689.630243,2928945330261.138,4290968018433.18,36064516129.03226,49935483870.96774,1981-01-03,157710504894.04138,winter
3,3818174882129.07,0.0,78855252447.02069,1783710472.354437,647450016950.4166,0.0,5287606763723.505,520299631.32650095,138642889.4818594,78855252447.02069,5.03320192640528e+16,13789597503.639204,2941628018433.18,4294094930875.5737,36064516129.03226,49935483870.96774,1981-01-04,247776549923.3196,winter
4,3817416075950.244,0.0,123888274961.6598,1775842535.3514063,1131604391560.5632,0.0,5287226314399.949,520232341.75837666,133010603.40136158,123888274961.6598,5.033200763752276e+16,13789594318.918575,2988821013824.8843,4138367557603.686,36064516129.03226,49935483870.96774,1981-01-05,548107052971.1436,winter
5,3816908830556.781,0.0,274053526485.5718,1759231042.8815305,1161419376852.9216,0.0,5286564888075.663,520147809.31086475,127795862.2554234,274053526485.5718,5.033199599951461e+16,13789591133.56788,3008244331797.233,4165261382488.477,36064516129.03226,49935483870.96774,1981-01-06,497198618447.60944,winter
6,3816487706970.1377,0.0,248599309223.80472,1756916922.9893463,1092494082677.0397,0.0,5285886295146.715,519911192.8295224,122953339.81011057,248599309223.80472,5.033198436380144e+16,13789587945.072495,2972746543778.801,4307220829493.088,36064516129.03226,49935483870.96774,1981-01-07,524229081433.5014,winter
7,3815923008071.6895,0.0,262114540716.7507,1756842024.9920018,1196124467695.761,0.0,5285247759692.529,519733666.051486,118500652.63015972,262114540716.7507,5.033197273229171e+16,13789584757.205873,3039156774193.5483,4208063225806.452,36064516129.03226,49935483870.96774,1981-01-08,540266029617.6272,winter
8,3815332815450.1953,0.0,270133014808.8136,1737143731.5262642,1281910187761.2747,0.0,5284549114833.992,519409101.9035497,114292991.64877248,270133014808.8136,5.033196108496998e+16,13789581570.490881,2995106543778.801,4308980460829.494,36064516129.03226,49935483870.96774,1981-01-09,480419809444.808,winter
9,3814887028175.001,0.0,240209904722.404,1715650743.2875648,1187295170863.6265,0.0,5283800746399.719,519003919.11132234,110369495.05082145,240209904722.404,5.0331949419676776e+16,13789578379.443832,3007523041474.656,4306864147465.436,36064516129.03226,49935483870.96774,1981-01-10,368814517591.1996,winter
10,3814622422700.476,0.0,184407258795.5998,1707513732.1645942,951044546557.11,0.0,5283107341466.367,518639898.226409,106711335.14273883,184407258795.5998,5.033193774954389e+16,13789575183.473091,3025984639016.897,4296508479262.674,36064516129.03226,49935483870.96774,1981-01-11,255252531247.6524,winter
11,3814483497139.413,0.0,127626265623.8262,1696680585.3417726,688105246489.0444,0.0,5282551052802.264,518217967.07179993,103330934.46665287,127626265623.8262,5.033192607153952e+16,13789571986.176409,,,36064516129.03226,49935483870.96774,1981-01-12,351109623288.87366,winter
12,3813888726499.534,0.0,175554811644.43683,1691689327.9382813,991577400303.7734,0.0,5282147406305.968,518030612.5816811,100502707.92008495,175554811644.43683,5.0331914391187976e+16,13789568786.723158,3081043133640.5537,4266059723502.3057,36064516129.03226,49935483870.96774,1981-01-13,415435149153.9689,winter
13,3813230081611.42,0.0,207717574576.98444,1685138596.6375303,1231760663701.6135,0.0,5281567699297.3545,517677313.0620136,98152025.5156622,207717574576.98444,5.033190270628628e+16,13789565586.626844,3047589001536.099,4303642119815.668,36064516129.03226,49935483870.96774,1981-01-14,399529108243.21326,winter
14,3812695846483.421,0.0,199764554121.60663,1671310586.1730442,1246791069586.294,0.0,5280848655471.801,517323014.5629781,95830468.17267677,199764554121.60663,5.033189100952702e+16,13789562385.283913,3055806559139.7847,4306020000000.0,36064516129.03226,49935483870.96774,1981-01-15,381658850553.4978,winter
15,3812160057347.5073,0.0,190829425276.7489,1668041160.1375153,1257071956533.4128,0.0,5280120943676.145,517012505.70808816,93755943.60319765,190829425276.7489,5.033187931126556e+16,13789559180.692335,3060331797235.024,4308397880184.3306,36064516129.03226,49935483870.96774,1981-01-16,361392484064.6357,winter
16,3811627157909.644,0.0,180696242032.31784,1651544297.2656076,1260214483208.0564,0.0,5279387296692.961,516449497.5056349,91511997.49432391,180696242032.31784,5.033186759819138e+16,13789555975.689196,3075101075268.818,4813721198156.681,36064516129.03226,49935483870.96774,1981-01-17,281702652113.5801,winter
17,3811312467889.668,0.0,140851326056.79004,1652344689.577449,1043618946697.9612,0.0,5278651866487.512,515954803.40493757,89624440.02790059,140851326056.79004,5.0331855887313656e+16,13789552766.627775,3074070660522.272,4312939631336.4062,36064516129.03226,49935483870.96774,1981-01-18,181246165557.33145,winter
18,3811199295032.587,0.0,90623082778.66573,1642293995.3616872,716186012310.9314,0.0,5278042097758.965,515498571.94368577,87712702.81835303,90623082778.66573,5.033184416784395e+16,13789549558.168125,3080940092165.897,4311037327188.94,36064516129.03226,49935483870.96774,1981-01-19,231518454475.37344,winter
19,3810632438046.6377,0.0,115759227237.68672,1626149180.196103,980168113883.9814,0.0,5277622340845.043,515052490.37166166,85895945.79818502,115759227237.68672,5.0331832433603336e+16,13789546347.35451,3087113993855.607,4288269124423.965,36064516129.03226,49935483870.96774,1981-01-20,318851622040.3472,winter
20,3809809813949.889,0.0,159425811020.1736,1626879808.359445,1389441146107.5266,0.0,5277049493326.346,514503554.7638124,84116401.07730435,159425811020.1736,5.033182070132716e+16,13789543132.494064,3087208448540.708,4258402949308.7593,36064516129.03226,49935483870.96774,1981-01-21,294308386881.0625,winter
21,3809292968216.0376,0.0,147154193440.53125,1613663180.0102384,1321117284809.1392,0.0,5276239216954.799,513941923.9999965,82393062.66573659,147154193440.53125,5.033180895699928e+16,13789539918.171825,3082794838709.677,4237275483870.968,36064516129.03226,49935483870.96774,1981-01-22,280814356649.2262,winter
